mse,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
8.627704195484188e-15,99.0434707757516,98.5781820946966,1.5710094060579733,0.17529697020297297,-1.541002632108959,-0.3362028723565368,107
8.458899467043094e-15,99.05518750245771,98.59644196134865,1.5535327404096795,0.17071901630836983,-1.5387533977409038,-0.334412184412339,108
8.01905457803711e-15,99.07132698394301,98.61978187817742,1.5298767115135865,0.18035505644290817,-1.4821508508467813,-0.336262978554382,109
7.384478262409821e-15,99.07996015856511,98.63631252597403,1.5017338981651065,0.19901577944849613,-1.4804463073396419,-0.33600998756392303,110
7.597672718972928e-15,99.0905128852624,98.65402018885604,1.47623339406302,0.2443907686009652,-1.496727087191942,-0.3357848205570804,111
8.52327460728148e-15,99.09522157393415,98.6686526915823,1.4533395091696382,0.24501866516359172,-1.5464183792378894,-0.3369200788787754,112
2.1571462958427352e-15,99.106553631413,98.68902424871517,1.426871727117052,0.3100620493325277,-1.4066718781101062,-0.3319389091517115,113
2.2179263957487063e-15,99.12076244665548,98.70844320745086,1.4075849059901893,0.30663847808249933,-1.4018897773423336,-0.33144705976182715,114
2.0662560162502117e-15,99.13110755314648,98.72489479939152,1.3896512751064964,0.34314236503896733,-1.4024023134845018,-0.3318778225750516,115
4.848446956036405e-15,99.138181375628,98.73689820511194,1.3697534398441944,0.35461573795061696,-1.4053179245691632,-0.3352844767160215,116
3.792383202477545e-15,99.14842512753977,98.75222135797262,1.3548581661419683,0.36283082305360637,-1.4070526973970603,-0.33502123820869173,117
3.551893832069148e-15,99.15870273787067,98.76703040394403,1.3371599591484067,0.3630947900472936,-1.406235959807017,-0.3350140756713634,118
3.916093515879693e-15,99.16865081032847,98.78288979308529,1.3197942433649859,0.368225325689858,-1.398750845450974,-0.3354337294515954,119
4.1053184229652805e-15,99.17969985931033,98.79876802280648,1.3038219795335955,0.3760296643981551,-1.3890897441364558,-0.33694776957148437,120
4.875544568273859e-15,99.1926831152423,98.81577606057544,1.2855074438896537,0.3753739322717431,-1.3813924821698453,-0.336574494805165,121
2.6726060286350164e-15,99.20353129654741,98.83602909315957,1.2590290012928094,0.3732109242607331,-1.3843531504737459,-0.3369315421635649,122
2.1832111498115013e-15,99.21283021424436,98.85317612275331,1.2361893784736155,0.369427036080193,-1.3857765888555842,-0.3369590329634876,123
2.2848941387979093e-15,99.22162654445522,98.86774688808141,1.217278363518708,0.3657414412287032,-1.3789360139699154,-0.3363936211535898,124
3.3654144443548344e-15,99.22972640025898,98.88205270743349,1.1992287995714686,0.35797439976034706,-1.3864961386659265,-0.33667941153949094,125
3.660119316744374e-15,99.2423879172628,98.89878056775983,1.1801747629304744,0.3572112526862812,-1.3859833441639395,-0.336601378705827,126
