mse,sqr_percentage,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
4.143402337581707e-17,99.9928,99.56443,99.364494,0.70382476,0.002589494,-0.0034572482,6.8172253668308254e-06,176
4.418356917731117e-17,99.99293,99.570755,99.37228,0.70179486,0.0025917515,-0.0034886897,7.10928812623024e-06,177
4.257855295933483e-17,99.99296,99.57681,99.38061,0.69635355,0.002666086,-0.0035973191,6.424859166145325e-06,178
4.3078628223495055e-17,99.99314,99.58086,99.387024,0.6877556,0.0024549812,-0.00371854,6.301719695329666e-06,179
8.892002086705237e-18,99.993286,99.588036,99.39583,0.6810775,0.0023157224,-0.0037146956,-3.3733807504177092e-06,180
1.3743671745205936e-17,99.9934,99.594475,99.405876,0.66875935,0.002346158,-0.0038947165,4.859743639826774e-06,181
1.1318336360633904e-17,99.993484,99.59888,99.41261,0.6631649,0.0026544407,-0.0039085597,1.620568335056305e-05,182
1.0958099546298958e-17,99.99363,99.60392,99.42221,0.66379607,0.003017962,-0.003536418,1.65712833404541e-05,183
1.6808294946686495e-17,99.99375,99.60898,99.42954,0.6503023,0.0031152144,-0.0035305023,1.4598490670323372e-05,184
3.9596862223649665e-17,99.99384,99.61403,99.437996,0.6412223,0.00338009,-0.0033616126,3.790880553424358e-05,185
4.9958374956473045e-17,99.99399,99.61931,99.445145,0.6305725,0.0034088343,-0.0033996701,3.692912869155407e-05,186
5.16533886354106e-17,99.99412,99.62244,99.45003,0.6215853,0.0034653395,-0.0033631623,3.67940403521061e-05,187
5.847609841829841e-17,99.99421,99.62583,99.45647,0.6133541,0.0029015467,-0.0034297109,4.2652729898691174e-05,188
5.0547056532347853e-17,99.994316,99.62816,99.460365,0.6122815,0.0028456151,-0.0036905855,4.538030363619328e-05,189
6.6775762493205e-17,99.994446,99.63153,99.466125,0.5982095,0.0030921847,-0.0037847608,5.464999005198479e-05,190
5.180840332875502e-18,99.99447,99.63516,99.47066,0.59254634,0.0031229556,-0.003762588,5.646048113703728e-05,191
4.218861603906772e-18,99.99457,99.637505,99.4757,0.58634275,0.0027733669,-0.0042690635,3.7042750045657157e-05,192
9.791560581878272e-18,99.994705,99.64102,99.48126,0.57718897,0.0027121827,-0.004925944,2.9093502089381218e-05,193
1.4555664125902058e-17,99.99483,99.644196,99.4865,0.5709831,0.002674073,-0.0048190355,2.6175258681178094e-05,194
2.057494567965845e-17,99.9949,99.64645,99.489944,0.56829685,0.0026576966,-0.0048300624,2.8136856853961946e-05,195
2.1103120908442474e-17,99.99497,99.64947,99.494385,0.5638817,0.0027814955,-0.0046462417,3.777671605348587e-05,196
2.0253508699092482e-17,99.99509,99.65329,99.49956,0.55801564,0.0028900057,-0.0046317726,5.377188324928284e-05,197
2.3338651536127095e-17,99.99514,99.65728,99.504654,0.55616444,0.002961494,-0.00459826,5.1710354164242744e-05,198
3.381171024069521e-17,99.99521,99.65929,99.508354,0.5513862,0.002979476,-0.0047109425,5.4660383611917495e-05,199
3.220072115429212e-17,99.99539,99.66118,99.51296,0.5386311,0.0031410642,-0.0048610643,5.597881972789765e-05,200
3.432661591517541e-17,99.99542,99.665146,99.51771,0.5353336,0.0030924715,-0.005014017,5.4288655519485474e-05,201
2.922942740213903e-17,99.99545,99.66821,99.52264,0.53631306,0.0029831603,-0.005090639,5.982862785458565e-05,202
2.7591790918422625e-17,99.99553,99.671814,99.527916,0.53139895,0.0029690564,-0.005104646,5.980990827083588e-05,203
2.8291930084885535e-17,99.99561,99.67591,99.532776,0.5272535,0.0032086223,-0.0053813457,4.7039370983839034e-05,204
